time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735292	0.629424	7.20493	-1.18666e-017	-2.21298e-018	radar	74.6446	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.49494	7.20802	-0.127183	-0.0118609	lidar	0.220945	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25799	0.533093	7.19319	0.122648	0.0306566	radar	1.82505	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61584	0.595356	7.20672	0.161494	0.046307	lidar	0.167277	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85112	0.561959	6.00787	0.0256634	-0.233091	radar	7.66227	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16288	0.591365	6.00754	0.040326	-0.177312	lidar	0.253448	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37874	0.637371	5.60153	0.0566584	-0.337004	radar	6.22888	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65587	0.654567	5.59907	0.045457	-0.315775	lidar	0.00797474	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92233	0.648223	5.53326	-0.00201087	-0.467555	radar	0.402912	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15807	0.64397	5.48892	-0.0153318	-0.433301	lidar	1.19429	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44368	0.539985	5.52209	-0.163951	-0.848724	radar	1.27729	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74681	0.427577	5.58973	-0.283275	-1.07253	lidar	2.09473	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02755	0.511996	5.55117	-0.145713	-0.545812	radar	4.14613	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30139	0.504088	5.5326	-0.138537	-0.462278	lidar	0.369711	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56183	0.54052	5.44633	-0.0974976	-0.32371	radar	2.05929	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75088	0.647571	5.28078	0.00392319	-0.076816	lidar	12.8524	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00292	0.646406	5.21073	-0.00435001	-0.0876569	radar	1.85222	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.3031	0.643379	5.26301	-0.0110788	-0.0920177	lidar	2.46164	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56118	0.651024	5.28588	-0.00516339	-0.0713452	radar	1.74686	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85447	0.667558	5.3206	0.00335141	-0.0508066	lidar	1.57877	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09718	0.593426	5.25227	-0.0517166	-0.140141	radar	3.67568	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35237	0.708229	5.22563	0.0257017	-0.00550068	lidar	3.96303	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60294	0.739821	5.18529	0.040547	0.0170009	radar	0.61708	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84988	0.738813	5.17149	0.0346473	0.00697258	lidar	0.27832	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09334	0.721528	5.08987	0.0177492	-0.0210608	radar	2.97125	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.313	0.807434	5.04206	0.0651831	0.0496869	lidar	3.17826	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60409	0.818719	5.14754	0.0643082	0.0457317	radar	4.37083	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85388	0.796968	5.13909	0.0450728	0.0152711	lidar	0.521238	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10383	0.814261	5.08301	0.0479679	0.0164005	radar	2.36265	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34084	0.832796	5.06194	0.0528021	0.022247	lidar	0.455302	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60842	0.924384	5.15096	0.0978054	0.086203	radar	6.97462	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84511	0.985441	5.12773	0.122141	0.114554	lidar	0.795506	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13355	1.02524	5.1861	0.13051	0.117568	radar	6.73264	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37044	1.05869	5.16053	0.136846	0.118585	lidar	0.688314	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64843	1.13484	5.21401	0.163023	0.146444	radar	4.46629	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92	1.26776	5.24635	0.217392	0.211989	lidar	2.94119	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1675	1.3663	5.19272	0.252659	0.249944	radar	4.5202	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
